Name,Severity,Activation Period,Training Period,Test Period,Deduplication Period,Detection Modules,ATT&CK Tactic,ATT&CK Technique,XDR Agent,XDR Agent (with XTH),Windows Event Collector,PAN Platform Logs,Azure Audit Logs,GCP Audit Logs,Azure AD,Azure AD Audit Logs,AWS Audit Logs,Okta,Ping,OneLogin,Google Workspace Audit Logs,Office 365 Audit Logs,Box Audit Logs,DropBox Audit Logs,PAN Global Protect/3rd Party VPN
Keylogging using system commands,Low,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Collection (TA0009),Input Capture: Keylogging (T1056.001),X,,,,,,,,,,,,,,,,
Uncommon remote scheduled task creation,High,14 Days,30 Days,N/A (single event),6 Hours,,Execution (TA0002),Scheduled Task/Job (T1053),X,,,,,,,,,,,,,,,,
Suspicious process execution by scheduled task,Low,14 Days,30 Days,N/A (single event),2 Days,,Persistence (TA0003),Scheduled Task/Job (T1053),X,,,,,,,,,,,,,,,,
Globally uncommon high entropy module was loaded,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Obfuscated Files or Information (T1027),X,,,,,,,,,,,,,,,,
Interactive login by a machine account,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),X,,,,,,,,,,,,,,,,
Rare DCOM RPC activity,Informational,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008),Remote Services: Distributed Component Object Model (T1021.003),X,,,,,,,,,,,,,,,,
Suspicious Process Spawned by Adobe Reader,Low,14 Days,30 Days,N/A (single event),1 Day,,Initial Access (TA0001),Phishing: Spearphishing Attachment (T1566.001),X,,,,,,,,,,,,,,,,
Rundll32.exe spawns conhost.exe,Medium,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),System Binary Proxy Execution: Rundll32 (T1218.011),X,,,,,,,,,,,,,,,,
Rare SSH Session,Low,14 Days,30 Days,N/A (single event),1 Hour,,Lateral Movement (TA0008),Remote Services (T1021),X,,,,,,,,,,,,,,,,
Unsigned and unpopular process performed an injection,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Process Injection (T1055),X,,,,,,,,,,,,,,,,
Suspicious time provider registered,Medium,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Boot or Logon Autostart Execution: Time Providers (T1547.003),X,,,,,,,,,,,,,,,,
Rare process spawned by srvany.exe,Informational,14 Days,30 Days,N/A (single event),1 Hour,,Execution (TA0002),System Services: Service Execution (T1569.002),X,,,,,,,,,,,,,,,,
A process connected to a rare external host,Informational,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Application Layer Protocol (T1071),X,,,,,,,,,,,,,,,,
Unusual AWS user added to group,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Account Manipulation (T1098),X,,,,,,,,,,,,,,,,
Uncommon RDP connection,Informational,14 Days,30 Days,N/A (single event),1 Hour,,Lateral Movement (TA0008),Remote Services: Remote Desktop Protocol (T1021.001),X,,,,,,,,,,,,,,,,
Rare Unix process divided files by size,Informational,14 Days,30 Days,N/A (single event),1 Hour,,Exfiltration (TA0010),Data Transfer Size Limits (T1030),X,,,,,,,,,,,,,,,,
Suspicious Certutil AD CS contact,Low,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007)Credential Access (TA0006),System Service Discovery (T1007)Steal or Forge Authentication Certificates (T1649),X,,,,,,,,,,,,,,,,
Copy a user's GnuPG directory with rsync,Low,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),Unsecured Credentials: Private Keys (T1552.004),X,,,,,,,,,,,,,,,,
Adding execution privileges,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Command and Scripting Interpreter: Unix Shell (T1059.004),X,,,,,,,,,,,,,,,,
Execution of the Hydra Linux password brute-force tool,Medium,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),Brute Force: Password Guessing (T1110.001),X,,,,,,,,,,,,,,,,
Suspicious dump of ntds.dit using Shadow Copy with ntdsutil/vssadmin,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),OS Credential Dumping: NTDS (T1003.003),X,,,,,,,,,,,,,,,,
Suspicious module load using direct syscall,Low,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Native API (T1106),X,,,,,,,,,,,,,,,,
Globally uncommon root domain from a signed process,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Command and Control (TA0011),System Binary Proxy Execution (T1218)Application Layer Protocol (T1071),X,,,,,,,,,,,,,,,,
Stored credentials exported using credwiz.exe,Low,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),Credentials from Password Stores (T1555),X,,,,,,,,,,,,,,,,
A process was executed with a command line obfuscated by Unicode character substitution,Medium,14 Days,30 Days,N/A (single event),6 Hours,,Defense Evasion (TA0005),Obfuscated Files or Information (T1027),X,,,,,,,,,,,,,,,,
Possible malicious .NET compilation started by a commonly abused process,Medium,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Obfuscated Files or Information: Compile After Delivery (T1027.004),X,,,,,,,,,,,,,,,,
Uncommon kernel module load,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Rootkit (T1014),X,,,,,,,,,,,,,,,,
Microsoft Office injects code into a process,Low,14 Days,30 Days,N/A (single event),1 Day,,Initial Access (TA0001)Defense Evasion (TA0005),Phishing: Spearphishing Attachment (T1566.001)Process Injection (T1055),X,,,,,,,,,,,,,,,,
WebDAV drive mounted from net.exe over HTTPS,Informational,14 Days,30 Days,N/A (single event),1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,,,,,,,,,,,,,,
Uncommon user management via net.exe,Informational,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007)Persistence (TA0003),Account Discovery (T1087)Create Account (T1136),X,,,,,,,,,,,,,,,,
Commonly abused process launched as a system service,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),System Services: Service Execution (T1569.002),X,,,,,,,,,,,,,,,,
Screensaver process executed from Users or temporary folder,Low,14 Days,30 Days,N/A (single event),6 Hours,,Persistence (TA0003),Event Triggered Execution: Screensaver (T1546.002),X,,,,,,,,,,,,,,,,
Cloud Unusual Instance Metadata Service (IMDS) access,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials: Cloud Instance Metadata API (T1552.005),X,,,,,,,,,,,,,,,,
Commonly abused AutoIT script connects to an external domain,Medium,14 Days,30 Days,N/A (single event),1 Day,,Exfiltration (TA0010)Execution (TA0002),Command and Scripting Interpreter: AutoHotKey & AutoIT (T1059.010)Automated Exfiltration (T1020),X,,,,,,,,,,,,,,,,
A TCP stream was created directly in a shell,Medium,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Command and Scripting Interpreter (T1059),X,,,,,,,,,,,,,,,,
PowerShell runs suspicious base64-encoded commands,Medium,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Command and Scripting Interpreter: PowerShell (T1059.001),X,,,,,,,,,,,,,,,,
Possible RDP session hijacking using tscon.exe,Medium,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008),Remote Service Session Hijacking: RDP Hijacking (T1563.002),X,,,,,,,,,,,,,,,,
Remote PsExec-like command execution,Informational,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008)Execution (TA0002),Remote Services (T1021)System Services: Service Execution (T1569.002)Lateral Tool Transfer (T1570),X,,,,,,,,,,,,,,,,
Rare Unsigned Process Spawned by Office Process Under Suspicious Directory,Low,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),User Execution (T1204),X,,,,,,,,,,,,,,,,
A service was disabled,Informational,14 Days,30 Days,N/A (single event),1 Day,,Impact (TA0040),Service Stop (T1489),X,,,,,,,,,,,,,,,,
Globally uncommon IP address by a common process (sha256),Informational,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Application Layer Protocol (T1071),X,,,,,,,,,,,,,,,,
Cached credentials discovery with cmdkey,Low,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Discovery (TA0007),OS Credential Dumping (T1003)Account Discovery (T1087),X,,,,,,,,,,,,,,,,
Tampering with Internet Explorer Protected Mode configuration,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Tools (T1562.001),X,,,,,,,,,,,,,,,,
Uncommon routing table listing via route.exe,Low,14 Days,30 Days,N/A (single event),1 Hour,,Discovery (TA0007),System Network Configuration Discovery (T1016),X,,,,,,,,,,,,,,,,
Suspicious authentication package registered,Medium,14 Days,30 Days,N/A (single event),14 Days,,Persistence (TA0003),Boot or Logon Autostart Execution: Authentication Package (T1547.002),X,,,,,,,,,,,,,,,,
The CA policy EditFlags was queried,Medium,14 Days,30 Days,N/A (single event),1 Day,,Privilege Escalation (TA0004),Valid Accounts (T1078),X,,,,,,,,,,,,,,,,
A Possible crypto miner was detected on a host,Medium,14 Days,30 Days,N/A (single event),1 Day,,Impact (TA0040),Resource Hijacking (T1496),X,,,X,,,,,,,,,,,,,
Suspicious systemd timer activity,Low,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Persistence (TA0003)Privilege Escalation (TA0004),Scheduled Task/Job: Systemd Timers (T1053.006),X,,,,,,,,,,,,,,,,
NTLM Brute Force on a Service Account,Low,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force (T1110),X,,,,,,,,,,,,,,,,
TGT reuse from different hosts (pass the ticket),Low,14 Days,30 Days,10 Hours,1 Day,Identity Analytics,Lateral Movement (TA0008),Use Alternate Authentication Material: Pass the Ticket (T1550.003),X,,,,,,,,,,,,,,,,
Multiple Weakly-Encrypted Kerberos Tickets Received,Low,14 Days,30 Days,10 Minutes,1 Hour,,Credential Access (TA0006),Steal or Forge Kerberos Tickets: Kerberoasting (T1558.003),X,,,X,,,,,,,,,,,,,
Random-Looking Domain Names,Medium,14 Days,30 Days,1 Day,1 Day,,Command and Control (TA0011),Dynamic Resolution: Domain Generation Algorithms (T1568.002),X,,,X,,,,,,,,,,,,,
Remote account enumeration,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Discovery (TA0007)Credential Access (TA0006),Account Discovery (T1087)Brute Force (T1110),X,,,,,,,,,,,,,,,,
NTLM Password Spray,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force: Password Spraying (T1110.003),X,,,X,,,,,,,,,,,,,
Multiple Rare Process Executions in Organization,Informational,14 Days,30 Days,1 Hour,30 Days,Identity Analytics,Execution (TA0002),User Execution (T1204),X,,,,,,,,,,,,,,,,
Kerberos Pre-Auth Failures by Host,Low,14 Days,30 Days,10 Minutes,1 Hour,,Credential Access (TA0006),Brute Force (T1110),X,,,X,,,,,,,,,,,,,
Brute-force attempt on a local account,Informational,14 Days,30 Days,15 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force (T1110),X,,,,,,,,,,,,,,,,
Multiple discovery-like commands,Informational,14 Days,30 Days,10 Minutes,1 Day,,Discovery (TA0007),Remote System Discovery (T1018)System Information Discovery (T1082)System Network Configuration Discovery (T1016)System Service Discovery (T1007),X,,,,,,,,,,,,,,,,
Suspicious ICMP traffic that resembles smurf attack,Low,14 Days,30 Days,1 Hour,1 Day,,Impact (TA0040),Endpoint Denial of Service: Service Exhaustion Flood (T1499.002)Network Denial of Service (T1498),X,,,,,,,,,,,,,,,,
External Login Password Spray,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force: Password Spraying (T1110.003),X,,,,,,,,,,,,,,,,
Interactive local account enumeration,Low,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Discovery (TA0007)Credential Access (TA0006),Account Discovery (T1087)Brute Force (T1110),X,,,,,,,,,,,,,,,,
Abnormal SMB activity to multiple hosts,Low,14 Days,30 Days,5 Hours,2 Days,,Lateral Movement (TA0008),Remote Services (T1021),X,,,,,,,,,,,,,,,,
NTLM Relay,Informational,14 Days,30 Days,10 Minutes,1 Day,,Credential Access (TA0006)Lateral Movement (TA0008),Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay (T1557.001)Use Alternate Authentication Material: Pass the Hash (T1550.002),X,,,X,,,,,,,,,,,,,
Multiple discovery commands on a Windows host by the same process,Low,14 Days,30 Days,10 Minutes,1 Day,,Discovery (TA0007),Remote System Discovery (T1018)System Information Discovery (T1082)System Network Configuration Discovery (T1016)System Service Discovery (T1007),X,,,,,,,,,,,,,,,,
Sudoedit Brute force attempt,Medium,14 Days,30 Days,1 Hour,1 Day,,Privilege Escalation (TA0004),Exploitation for Privilege Escalation (T1068),X,,,,,,,,,,,,,,,,
Multiple Rare LOLBIN Process Executions by User,Low,14 Days,30 Days,1 Hour,30 Days,Identity Analytics,Execution (TA0002),User Execution (T1204),X,,,,,,,,,,,,,,,,
Multiple discovery commands on a Linux host by the same process,Informational,14 Days,30 Days,10 Minutes,1 Day,,Discovery (TA0007),Remote System Discovery (T1018)System Information Discovery (T1082)System Network Configuration Discovery (T1016)System Service Discovery (T1007),X,,,,,,,,,,,,,,,,
Large Upload (HTTPS),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Spam Bot Traffic,Low,14 Days,30 Days,3 Days,3 Days,,Impact (TA0040),Resource Hijacking (T1496),X,,,X,,,,,,,,,,,,,
A user authenticated with weak NTLM to multiple hosts,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Lateral Movement (TA0008),Use Alternate Authentication Material (T1550),X,,,,,,,,,,,,,,,,
Possible brute force or configuration change attempt on cytool,High,14 Days,30 Days,1 Hour,1 Day,,Credential Access (TA0006),Brute Force: Password Guessing (T1110.001),X,,,,,,,,,,,,,,,,
Massive upload to a rare storage or mail domain,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Threat Module,Exfiltration (TA0010),Exfiltration Over Web Service (T1567)Exfiltration Over Web Service: Exfiltration to Cloud Storage (T1567.002),X,,,X,,,,,,,,,,,,,
Large Upload (SMTP),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
NTLM Hash Harvesting,Medium,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Credential Access (TA0006),OS Credential Dumping (T1003),X,,,X,,,,,,,,,,,,,
Large Upload (FTP),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
A user logged on to multiple workstations via Schannel,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Persistence (TA0003)Privilege Escalation (TA0004)Credential Access (TA0006),Account Manipulation (T1098)Valid Accounts (T1078)Steal or Forge Authentication Certificates (T1649),X,,,,,,,,,,,,,,,,
Possible brute force on sudo user,Informational,14 Days,30 Days,10 Minutes,1 Day,,Credential Access (TA0006),Brute Force: Password Guessing (T1110.001),X,,,,,,,,,,,,,,,,
Kerberos Pre-Auth Failures by User and Host,Informational,14 Days,30 Days,10 Minutes,1 Day,,Credential Access (TA0006),Brute Force (T1110),X,,,X,,,,,,,,,,,,,
NTLM Brute Force,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force (T1110),X,,,,,,,,,,,,,,,,
Abnormal sensitive RPC traffic to multiple hosts,Low,14 Days,30 Days,5 Hours,1 Day,,Lateral Movement (TA0008),Remote Services (T1021),X,,,X,,,,,,,,,,,,,
Large Upload (Generic),Low,14 Days,30 Days,1 Day,1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Upload pattern that resembles Peer to Peer traffic,Informational,14 Days,30 Days,30 Minutes,1 Day,,Command and Control (TA0011)Initial Access (TA0001),Application Layer Protocol (T1071)Non-Standard Port (T1571)Trusted Relationship (T1199)Phishing (T1566),X,,,X,,X,,,,,,,,,,,
Port Scan,Informational,14 Days,30 Days,1 Hour,1 Day,,Discovery (TA0007),Network Service Discovery (T1046),X,,,,,,,,,,,,,,,,
SSH authentication brute force attempts,Informational,14 Days,30 Days,15 Minutes,3 Hours,Identity Analytics,Credential Access (TA0006),Brute Force (T1110),X,,,,,,,,,,,,,,,,
New Shared User Account,Low,14 Days,30 Days,10 Hours,30 Days,Identity Analytics,Initial Access (TA0001),Valid Accounts (T1078),X,,,,,,,,,,,,,,,,
Multiple users authenticated with weak NTLM to a host,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Lateral Movement (TA0008),Use Alternate Authentication Material (T1550),X,,,,,,,,,,,,,,,,
Possible external RDP Brute-Force,Low,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force: Password Guessing (T1110.001),X,,,,,,,,,,,,,,,,
New Administrative Behavior,Medium,14 Days,30 Days,12 Hours,1 Day,,Lateral Movement (TA0008),Remote Services (T1021),X,,,,,,,,,,,,,,,,
Account probing,Low,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Initial Access (TA0001)Credential Access (TA0006),Valid Accounts (T1078)Brute Force (T1110),X,,,,,,,,,,,,,,,,
Failed DNS,Low,14 Days,30 Days,2 Hours,2 Hours,,Command and Control (TA0011),Dynamic Resolution: Domain Generation Algorithms (T1568.002),X,,,X,,,,,,,,,,,,,
Multiple discovery commands,Low,14 Days,30 Days,10 Minutes,1 Day,,Discovery (TA0007),Remote System Discovery (T1018)System Information Discovery (T1082)System Network Configuration Discovery (T1016)System Service Discovery (T1007),X,,,,,,,,,,,,,,,,
Possible Brute-Force attempt,Informational,14 Days,30 Days,15 Minutes,1 Day,Identity Analytics,Credential Access (TA0006)Lateral Movement (TA0008),Brute Force (T1110)Remote Services (T1021),X,,,,,,,,,,,,,,,,
HTTP with suspicious characteristics,Low,14 Days,30 Days,2 Hours,1 Day,,Command and Control (TA0011)Exfiltration (TA0010),Web Service (T1102)Exfiltration Over Web Service (T1567),X,,,X,,,,,,,,,,,,,
Kerberos User Enumeration,Medium,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Discovery (TA0007),Account Discovery (T1087),X,,,X,,,,,,,,,,,,,
Failed Connections,Low,14 Days,30 Days,1 Day,1 Day,,Discovery (TA0007),Remote System Discovery (T1018),X,,,,,,,,,,,,,,,,
DNS Tunneling,Medium,14 Days,30 Days,10 Minutes,1 Hour,,Command and Control (TA0011)Exfiltration (TA0010),Application Layer Protocol (T1071)Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
Suspicious container reconnaissance activity in a Kubernetes pod,Informational,14 Days,30 Days,10 Minutes,1 Day,,Discovery (TA0007),Remote System Discovery (T1018)System Information Discovery (T1082)System Network Configuration Discovery (T1016)System Service Discovery (T1007)Container and Resource Discovery (T1613),X,,,,,,,,,,,,,,,,
Suspicious DNS traffic,Informational,14 Days,30 Days,10 Minutes,1 Hour,,Command and Control (TA0011)Exfiltration (TA0010),Application Layer Protocol (T1071)Exfiltration Over Alternative Protocol (T1048),X,,,X,,,,,,,,,,,,,
NTLM Brute Force on an Administrator Account,Low,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006),Brute Force (T1110),X,,,,,,,,,,,,,,,,
Space after filename,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Masquerading: Space after Filename (T1036.006),,X,,,,,,,,,,,,,,,
Uncommon SetWindowsHookEx API invocation of a possible keylogger,Medium,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Collection (TA0009),Input Capture: Keylogging (T1056.001),,X,,,,,,,,,,,,,,,
Uncommon Security Support Provider (SSP) registered via a registry key,Low,14 Days,30 Days,N/A (single event),1 Day,,Privilege Escalation (TA0004),Boot or Logon Autostart Execution: Security Support Provider (T1547.005),,X,,,,,,,,,,,,,,,
Suspicious Print System Remote Protocol usage by a process,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Credential Access (TA0006),Forced Authentication (T1187),,X,,,,,,,,,,,,,,,
Suspicious Udev driver rule execution manipulation,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003)Privilege Escalation (TA0004),Boot or Logon Autostart Execution: Kernel Modules and Extensions (T1547.006),,X,,,,,,,,,,,,,,,
A compiled HTML help file wrote a script file to the disk,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),System Binary Proxy Execution: Compiled HTML File (T1218.001),,X,,,,,,,,,,,,,,,
A browser extension was installed or loaded in an uncommon way,Informational,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Browser Extensions (T1176),,X,,,,,,,,,,,,,,,
Unusual use of a 'SysInternals' tool,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Obfuscated Files or Information (T1027),,X,,,,,,,,,,,,,,,
System profiling WMI query execution,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Discovery (TA0007),Windows Management Instrumentation (T1047)System Information Discovery (T1082),,X,,,,,,,,,,,,,,,
Browser Extension Installed,Informational,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Browser Extensions (T1176),,X,,,,,,,,,,,,,,,
Sensitive account password reset attempt,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Impact (TA0040),Account Access Removal (T1531),,X,X,,,,,,,,,,,,,,
Uncommon jsp file write by a Java process,Medium,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Server Software Component: Web Shell (T1505.003),,X,,,,,,,,,,,,,,,
Discovery of misconfigured certificate templates using LDAP,Medium,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),File and Directory Discovery (T1083),,X,,,,,,,,,,,,,,,
A user certificate was issued with a mismatch,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003)Privilege Escalation (TA0004)Credential Access (TA0006),Account Manipulation (T1098)Valid Accounts (T1078)Steal or Forge Authentication Certificates (T1649),,X,X,,,,,,,,,,,,,,
Mailbox Client Access Setting (CAS) changed,Medium,14 Days,30 Days,N/A (single event),1 Day,,Collection (TA0009),Data Staged: Local Data Staging (T1074.001),,X,X,,,,,,,,,,,,,,
Service ticket request with a spoofed sAMAccountName,Medium,14 Days,30 Days,N/A (single event),3 Hours,Identity Analytics,Privilege Escalation (TA0004)Persistence (TA0003),Account Manipulation (T1098)Valid Accounts (T1078),,X,X,,,,,,,,,,,,,,
PowerShell used to remove mailbox export request logs,High,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Command and Scripting Interpreter: PowerShell (T1059.001),,X,X,,,,,,,,,,,,,,
A user connected a USB storage device for the first time,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009)Exfiltration (TA0010),Data Staged (T1074)Exfiltration Over Physical Medium: Exfiltration over USB (T1052.001),,X,,,,,,,,,,,,,,,
Uncommon NtWriteVirtualMemoryRemote API invocation with a PE header buffer,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Privilege Escalation (TA0004),Process Injection: Portable Executable Injection (T1055.002),,X,,,,,,,,,,,,,,,
Uncommon AT task-job creation by user,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Scheduled Task/Job: At (T1053.002),,X,,,,,,,,,,,,,,,
DSC (Desired State Configuration) lateral movement using PowerShell,Informational,14 Days,30 Days,N/A (single event),1 Hour,,Lateral Movement (TA0008)Execution (TA0002),Windows Management Instrumentation (T1047)Remote Services: Windows Remote Management (T1021.006),,X,,,,,,,,,,,,,,,
Suspicious process modified RC script file,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003)Privilege Escalation (TA0004),Boot or Logon Initialization Scripts: RC Scripts (T1037.004),,X,,,,,,,,,,,,,,,
VM Detection attempt,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Discovery (TA0007),Virtualization/Sandbox Evasion: System Checks (T1497.001),,X,X,,,,,,,,,,,,,,
A user added a Windows firewall rule,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Impair Defenses: Disable or Modify System Firewall (T1562.004),,X,,,,,,,,,,,,,,,
Office process accessed an unusual .LNK file,Low,14 Days,30 Days,N/A (single event),7 Days,,Execution (TA0002)Persistence (TA0003),User Execution (T1204)Boot or Logon Autostart Execution: Shortcut Modification (T1547.009),,X,,,,,,,,,,,,,,,
Executable created to disk by lsass.exe,Medium,14 Days,30 Days,N/A (single event),6 Hours,,Defense Evasion (TA0005),Process Injection (T1055),,X,,,,,,,,,,,,,,,
An uncommon file added to startup-related Registry keys,Informational,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Boot or Logon Autostart Execution (T1547),,X,,,,,,,,,,,,,,,
Suspicious AMSI decode attempt,Informational,14 Days,30 Days,N/A (single event),1 Minute,,Defense Evasion (TA0005),Deobfuscate/Decode Files or Information (T1140),,X,,,,,,,,,,,,,,,
Windows event logs were cleared with PowerShell,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Indicator Removal: Clear Windows Event Logs (T1070.001),,X,,,,,,,,,,,,,,,
Scheduled Task hidden by registry modification,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Modify Registry (T1112)Hide Artifacts (T1564),,X,,,,,,,,,,,,,,,
An unpopular process accessed the microphone on the host,Low,14 Days,30 Days,N/A (single event),7 Days,,Collection (TA0009),Audio Capture (T1123)Video Capture (T1125),,X,,,,,,,,,,,,,,,
Known service display name with uncommon image-path,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003)Execution (TA0002),Create or Modify System Process: Windows Service (T1543.003)System Services: Service Execution (T1569.002),,X,,,,,,,,,,,,,,,
User account delegation change,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Persistence (TA0003),Account Manipulation (T1098),,X,X,,,,,,,,,,,,,,
Creation or modification of the default command executed when opening an application,Informational,14 Days,30 Days,N/A (single event),1 Day,,Privilege Escalation (TA0004),Abuse Elevation Control Mechanism: Bypass User Account Control (T1548.002),,X,,,,,,,,,,,,,,,
New process created via a WMI call,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Windows Management Instrumentation (T1047),,X,,,,,,,,,,,,,,,
Uncommon GetClipboardData API function invocation of a possible information stealer,Informational,14 Days,30 Days,N/A (single event),1 Day,,Collection (TA0009),Clipboard Data (T1115),,X,,,,,,,,,,,,,,,
Browser bookmark files accessed by a rare non-browser process,Informational,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),Browser Information Discovery (T1217),,X,,,,,,,,,,,,,,,
An uncommon executable was remotely written over SMB to an uncommon destination,Low,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008),Remote Services: SMB/Windows Admin Shares (T1021.002),,X,,,,,,,,,,,,,,,
Administrator groups enumerated via LDAP,Informational,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),Account Discovery (T1087),,X,X,,,,,,,,,,,,,,
Suspicious access to shadow file,Informational,14 Days,30 Days,N/A (single event),7 Days,,Credential Access (TA0006),OS Credential Dumping (T1003),,X,,,,,,,,,,,,,,,
Suspicious active setup registered,Informational,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Boot or Logon Autostart Execution: Active Setup (T1547.014),,X,,,,,,,,,,,,,,,
